date_id,datetime_id,market,rpt_key,last,diff_24h,diff_per_24h,bid,ask,low,high,volume,created_at,updated_at
2017-05-31,2017-06-01 00:00:00,korbit,btc_krw,3003500,3140000,-4.347133758,3003500,3004000,3002000,3209500,6109.75287236,2017-05-31 14:59:36,2017-05-31 14:59:36
2017-06-01,2017-06-01 01:00:00,korbit,btc_krw,3077000,3160000,-2.6265822785,3077000,3077500,3002000,3209500,6381.04371631,2017-05-31 15:59:36,2017-05-31 15:59:36
2017-06-01,2017-06-01 02:00:00,korbit,btc_krw,3125000,3170500,-1.435104873,3125000,3127000,3002000,3199000,6361.95335417,2017-05-31 16:59:36,2017-05-31 16:59:36
2017-06-01,2017-06-01 03:00:00,korbit,btc_krw,3101000,3196000,-2.972465582,3101000,3112500,3002000,3199000,6485.76566925,2017-05-31 17:59:36,2017-05-31 17:59:36
2017-06-01,2017-06-01 04:00:00,korbit,btc_krw,3133000,3166000,-1.0423246999,3099500,3130000,3002000,3199000,6609.33741445,2017-05-31 18:58:36,2017-05-31 18:59:36
2017-06-01,2017-06-01 05:00:00,korbit,btc_krw,3059500,3165500,-3.3486021166,3059500,3060500,3002000,3199000,6686.2463339,2017-05-31 19:59:37,2017-05-31 19:59:37
2017-06-01,2017-06-01 06:00:00,korbit,btc_krw,3069000,3191000,-3.8232528988,3064500,3065000,3002000,3199000,6786.98088838,2017-05-31 20:59:37,2017-05-31 20:59:37
2017-06-01,2017-06-01 07:00:00,korbit,btc_krw,3040000,3182000,-4.462602137,3040000,3049000,3002000,3192000,6716.01925829,2017-05-31 21:59:37,2017-05-31 21:59:37
2017-06-01,2017-06-01 08:00:00,korbit,btc_krw,3046500,3131500,-2.7143541434,3045500,3046500,3002000,3175000,6607.30417292,2017-05-31 22:59:37,2017-05-31 22:59:37
2017-06-01,2017-06-01 09:00:00,korbit,btc_krw,3040500,3128000,-2.797314578,3040000,3040500,3002000,3175000,6395.1446972,2017-05-31 23:59:37,2017-05-31 23:59:37
2017-06-01,2017-06-01 10:00:00,korbit,btc_krw,3052000,3136000,-2.6785714286,3052000,3063000,3002000,3161000,6275.5864045,2017-06-01 00:59:37,2017-06-01 00:59:37
2017-06-01,2017-06-01 11:00:00,korbit,btc_krw,3078500,3121000,-1.3617430311,3078000,3078500,3002000,3150000,6453.12338158,2017-06-01 01:59:37,2017-06-01 01:59:37
2017-06-01,2017-06-01 12:00:00,korbit,btc_krw,3088500,3100500,-0.3870343493,3088500,3104000,3002000,3150000,6754.17840348,2017-06-01 02:59:38,2017-06-01 02:59:38
2017-06-01,2017-06-01 13:00:00,korbit,btc_krw,3071500,3073500,-0.065072393,3071500,3074500,3002000,3150000,6791.36209964,2017-06-01 03:59:37,2017-06-01 03:59:37
2017-06-01,2017-06-01 14:00:00,korbit,btc_krw,3060000,3093000,-1.0669253152,3060000,3067500,3002000,3150000,6634.01881463,2017-06-01 04:59:38,2017-06-01 04:59:38
2017-06-01,2017-06-01 15:00:00,korbit,btc_krw,3049000,3050000,-0.0327868852,3047500,3049000,3002000,3150000,6364.2851616,2017-06-01 05:59:37,2017-06-01 05:59:37
2017-06-01,2017-06-01 16:00:00,korbit,btc_krw,3079000,3058000,0.6867233486,3076000,3079000,3002000,3150000,6664.40334536,2017-06-01 06:59:37,2017-06-01 06:59:37
2017-06-01,2017-06-01 17:00:00,korbit,btc_krw,3160000,3075000,2.7642276423,3418500,3165000,3002000,3165000,7284.59932042,2017-06-01 07:59:38,2017-06-01 07:59:38
2017-06-01,2017-06-01 18:00:00,korbit,btc_krw,3142000,3075000,2.1788617886,3142500,3154000,3002000,3174000,7813.45985889,2017-06-01 08:59:38,2017-06-01 08:59:38
2017-06-01,2017-06-01 19:00:00,korbit,btc_krw,3115500,3068000,1.5482398957,3115500,3117000,3002000,3174000,8115.78939491,2017-06-01 09:59:38,2017-06-01 09:59:38
2017-06-01,2017-06-01 20:00:00,korbit,btc_krw,3170000,3045500,4.0879986866,3162500,3170000,3002000,3180000,8377.04072953,2017-06-01 10:59:39,2017-06-01 10:59:39
2017-06-01,2017-06-01 21:00:00,korbit,btc_krw,3183000,3025000,5.2231404959,3183000,3188000,3002000,3210000,8957.31629278,2017-06-01 11:59:38,2017-06-01 11:59:38
2017-06-01,2017-06-01 22:00:00,korbit,btc_krw,3158000,3006000,5.0565535595,3146500,3158000,3002000,3210000,8927.7068786,2017-06-01 12:59:38,2017-06-01 12:59:38
